gold_diff,win_probability,checkpoint
-601.3181719532554,0.38573563667050836,10 min
-586.4708096828049,0.3884613004851376,10 min
-571.6234474123539,0.3911939546201493,10 min
-556.7760851419034,0.3939334450695482,10 min
-541.9287228714525,0.39667961615324165,10 min
-527.081360601002,0.39943231054896133,10 min
-512.233998330551,0.4021913693250224,10 min
-497.3866360601005,0.4049566319739031,10 min
-482.53927378964954,0.40772793644663385,10 min
-467.6919115191986,0.4105051191879815,10 min
-452.8445492487481,0.4132880151724138,10 min
-437.9971869782971,0.41607645794083103,10 min
-423.1498247078466,0.4188702796380449,10 min
-408.30246243739566,0.4216693110509936,10 min
-393.45510016694516,0.42447338164767,10 min
-378.6077378964942,0.4272823196167518,10 min
-363.7603756260437,0.43009595190790806,10 min
-348.91301335559274,0.43291410427277,10 min
-334.06565108514224,0.43573660130654124,10 min
-319.21828881469173,0.43856326649023003,10 min
-304.3709265442403,0.44139392223348284,10 min
-289.5235642737898,0.4442283899179952,10 min
-274.6762020033393,0.4470664899414829,10 min
-259.8288397328879,0.4499080417621859,10 min
-244.9814774624374,0.4527528639438858,10 min
-230.1341151919869,0.45560077420141215,10 min
-215.2867529215364,0.45845158944661435,10 min
-200.43939065108498,0.461305125834774,10 min
-185.59202838063447,0.4641611988114338,10 min
-170.74466611018397,0.46701962315961953,10 min
-155.89730383973347,0.4698802130474258,10 min
-141.04994156928205,0.472742782075944,10 min
-126.20257929883155,0.475607143327504,10 min
-111.35521702838105,0.47847310941420373,10 min
-96.50785475792964,0.4813404925267019,10 min
-81.66049248747913,0.48420910448324184,10 min
-66.81313021702863,0.4870787567788874,10 min
-51.965767946578126,0.48994926063493527,10 min
-37.11840567612671,0.4928204270484828,10 min
-22.27104340567621,0.49569206684211903,10 min
-7.423681135225706,0.4985639907137155,10 min
7.423681135224797,0.5014360092862844,10 min
22.27104340567621,0.5043079331578809,10 min
37.11840567612671,0.5071795729515173,10 min
51.965767946577216,0.5100507393650646,10 min
66.81313021702863,0.5129212432211127,10 min
81.66049248747913,0.515790895516758,10 min
96.50785475792964,0.518659507473298,10 min
111.35521702838014,0.521526890585796,10 min
126.20257929883155,0.524392856672496,10 min
