league,teamname,condition,n,wins,expected_wins,win_rate,adjusted_pp,low,high,source_games,eligible_games,coverage_pct
LCS,Disguised,Behind,19,0,2.5126965642515344,0.0,-5.127952171941907,-7.781259852293713,-2.827459421400835,47,47,100.0
LCS,FlyQuest,Ahead,24,19,18.399361668585748,0.7916666666666666,1.1122932063226847,-5.743631485410599,7.104070791596273,59,59,100.0
LCS,FlyQuest,Behind,21,4,5.6749948107721035,0.19047619047619047,-3.284303550533538,-8.11000055266888,2.440419920129278,59,59,100.0
LCS,LYON,Ahead,25,22,20.68031140617963,0.88,2.3994338069461305,-3.602251305572423,7.1995584532868095,66,66,100.0
LCS,LYON,Behind,19,12,6.8075206629992655,0.631578947368421,10.596896606123947,2.0813049950062887,17.879997590439544,66,66,100.0
LCS,Sentinels,Ahead,21,15,16.075936172846852,0.7142857142857143,-2.1096787702879394,-9.770583477666616,5.746043503017515,58,58,100.0
LCS,Sentinels,Behind,17,3,3.815208161024448,0.17647058823529413,-1.7344854489881885,-7.5103020337319,4.974126754712945,58,58,100.0
LCS,Shopify Rebellion,Ahead,13,9,8.23744876622394,0.6923076923076923,1.7733749622699029,-5.841926555750974,8.316499815125061,42,42,100.0
LCS,Shopify Rebellion,Behind,23,4,4.745566700235784,0.17391304347826086,-1.4067296230863848,-7.303671750515505,4.74149569367724,42,42,100.0
LCS,Team Liquid,Ahead,36,27,27.956905931711482,0.75,-1.4498574722901274,-7.7925625695624055,4.985387698428529,66,66,100.0
LCS,Team Liquid,Behind,15,7,4.16697087115103,0.4666666666666667,6.295620286331044,-1.4383878879585132,14.044552756434562,66,66,100.0
LEC,Fnatic,Ahead,19,13,13.796098536618455,0.6842105263157895,-1.6246908910580702,-7.90243674571386,4.416927698635035,60,60,100.0
LEC,Fnatic,Behind,21,6,4.920596612083012,0.2857142857142857,2.1164772312097777,-5.069672167783029,9.967998833038934,60,60,100.0
LEC,G2 Esports,Ahead,39,34,32.46349188863533,0.8717948717948718,2.2268233498038703,-3.3760175906711236,7.945527594030902,86,86,100.0
LEC,G2 Esports,Behind,24,10,8.985925670688527,0.4166666666666667,1.8779154246508762,-6.3112899438383625,10.032837636343576,86,86,100.0
LEC,GiantX,Ahead,18,12,13.318670899295523,0.6666666666666666,-2.7472310401990057,-9.800917925734218,4.286703967957729,83,82,98.79518072289157
LEC,GiantX,Behind,39,16,8.271662947328542,0.41025641025641024,11.200488482132547,2.546171943656473,20.428071663633844,83,82,98.79518072289157
